worker_id,name,contractor_id,date,check_in,check_out,shift_type,is_late,absences_30d,attendance_rate,overtime_hours,total_hours_worked,worker_category
1103,Priya Kumar,104,2023-04-17,,,,0,4,0.43,0.0,0.0,High_Risk
1075,Neha Patel,103,2023-04-10,05:01,18:43,Full,0,1,0.44,1.5,13.7,High_Risk
1021,Deepak Sharma,101,2023-01-23,07:58,12:41,Morning,0,0,1.0,0.0,4.72,Regular
1015,Priya Nair,103,2023-09-01,07:06,12:08,Morning,0,0,1.0,0.0,5.03,Regular
1060,Priya Rao,102,2023-12-12,07:59,17:43,Full,0,0,0.95,0.0,9.73,Regular
1081,Arjun Kumar,104,2023-01-02,06:28,12:17,Morning,0,0,1.0,0.5,5.82,Regular
1014,Rajesh Singh,104,2023-10-23,07:52,18:25,Full,0,0,0.98,2.0,10.55,Regular
1041,Deepak Patel,105,2023-03-06,14:43,23:23,Evening,0,2,0.89,0.0,8.67,Irregular
1033,Rohan Rao,103,2023-08-19,05:07,18:33,Full,0,0,0.97,0.0,13.43,Regular
1062,Rajesh Nair,105,2023-12-26,14:36,22:13,Evening,0,0,0.86,1.0,7.62,Irregular
1142,Deepak Nair,103,2023-01-16,14:31,22:48,Evening,0,0,0.98,0.0,8.28,Regular
1143,Arjun Patel,103,2023-01-13,06:27,13:41,Morning,0,0,0.98,1.0,7.23,Regular
1134,Sneha Rao,104,2023-02-13,06:54,18:24,Full,0,0,0.8,0.0,11.5,Irregular
1027,Neha Kumar,101,2023-08-21,07:08,13:36,Morning,0,1,0.82,0.0,6.47,Irregular
1059,Amit Joshi,101,2023-11-14,,,,0,0,1.0,0.0,0.0,Regular
1039,Vikram Gupta,102,2023-04-11,05:01,13:27,Morning,0,0,0.82,0.0,8.43,Irregular
1129,Amit Patel,103,2023-02-22,07:03,17:10,Full,0,0,0.9,0.0,10.12,Irregular
1024,Vikram Singh,105,2023-07-17,05:08,18:58,Full,0,0,0.92,0.0,13.83,Irregular
1147,Priya Joshi,102,2023-05-27,05:32,13:38,Morning,0,0,0.96,1.5,8.1,Regular
1042,Priya Verma,103,2023-05-24,15:48,23:00,Evening,0,0,0.99,0.0,7.2,Regular
1037,Vikram Rao,103,2023-08-21,07:19,18:53,Full,0,0,0.98,0.5,11.57,Regular
1075,Neha Kumar,101,2023-04-14,06:24,12:24,Morning,0,0,0.96,0.0,6.0,Regular
1082,Sneha Nair,102,2023-07-27,,,,0,0,0.75,0.0,0.0,Irregular
1142,Priya Joshi,105,2023-05-15,15:11,22:50,Evening,0,0,0.96,0.0,7.65,Regular
1038,Priya Nair,105,2023-09-21,06:32,18:46,Full,0,0,0.96,0.0,12.23,Regular
1061,Neha Rao,103,2023-07-11,06:28,13:52,Morning,0,0,0.99,1.0,7.4,Regular
1037,Vikram Rao,105,2023-06-30,07:20,18:22,Full,0,0,0.97,0.0,11.03,Regular
1018,Deepak Singh,101,2023-02-23,15:49,23:46,Evening,0,0,0.96,2.0,7.95,Regular
1130,Rajesh Patel,102,2023-10-26,,,,0,2,0.81,0.0,0.0,Irregular
1026,Neha Singh,103,2023-01-13,05:19,12:07,Morning,0,0,0.99,0.5,6.8,Regular
1115,Deepak Singh,104,2023-10-16,05:57,12:21,Morning,0,0,0.95,0.0,6.4,Regular
1070,Arjun Gupta,103,2023-09-21,05:38,13:05,Morning,0,0,0.98,0.0,7.45,Regular
1047,Sneha Verma,103,2023-11-04,06:29,17:16,Full,0,2,0.84,0.0,10.78,Irregular
1090,Amit Verma,105,2023-11-14,05:00,18:57,Full,0,0,0.96,0.0,13.95,Regular
1126,Vikram Patel,101,2023-09-29,05:21,17:54,Full,0,1,0.82,0.0,12.55,Irregular
1086,Neha Singh,101,2023-08-08,06:51,12:11,Morning,0,0,0.99,0.0,5.33,Regular
